Fabrício Bruno,br BRA,ZG,Flamengo,26,1996,34,34,3.060,34.0,0,1,1,0,0,0,8,0,0.7,0.7,0.5,1.2,32,199,7,0.00,0.03,0.03,0.00,0.03,0.02,0.01,0.04,0.02,0.04,Partidas
Vitor Bueno,br BRA,LT.AT,Ath Paranaense,28,1994,32,25,2.075,23.1,5,5,10,2,3,3,7,0,5.3,3.1,6.9,9.9,74,149,114,0.22,0.22,0.43,0.09,0.30,0.23,0.30,0.53,0.13,0.43,Partidas
Esteban Burgos,ar ARG,ZG,América (MG),31,1992,4,4,294,3.3,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,1,7,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas

Fabricio Bustos,ar ARG,ZG,Internacional,26,1996,29,28,2.499,27.8,3,3,6,3,0,0,4,0,1.0,1.0,2.9,3.9,39,103,151,0.11,0.11,0.22,0.11,0.22,0.04,0.10,0.14,0.04,0.14,Partidas
Rafael Cabral,br BRA,G,Cruzeiro,32,1990,37,37,3.330,37.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
Cacá,br BRA,ZG,Ath Paranaense,23,1999,19,19,1.694,18.8,2,0,2,2,0,0,6,0,1.1,1.1,0.3,1.4,12,39,8,0.11,0.00,0.11,0.11,0.11,0.06,0.02,0.08,0.06,0.08,Partidas
Cadu,br BRA,ZG,Santos,20,2002,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
Caetano,br BRA,ZG,Corinthians,23,1999,16,13,1.204,13.4,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.2,2,35,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Partidas
Jonathan Cafu,br BRA,AT.LT,Cuiabá,31,1991,32,23,1.708,19.0,0,3,3,0,0,0,5,0,1.5,1.5,1.0,2.5,39,50,169,0.00,0.16,0.16,0.00,0.16,0.08,0.05,0.13,0.08,0.13,Partidas
Júnior Caiçara,br BRA,ZG,Santos,33,1989,5,1,169,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,6,8,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
Rodrigo Caio,br BRA,LT.ZG,Flamengo,29,1993,5,0,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
Caíque,br BRA,G,Grêmio,25,1997,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
Calebe,br BRA,LT.AT,Fortaleza,22,2000,29,16,1.479,16.4,2,5,7,2,0,0,2,0,3.0,3.0,4.8,7.8,69,78,127,0.12,0.30,0.43,0.12,0.43,0.18,0.29,0.48,0.18,0.48,Partidas
Jonathan Calleri,ar ARG,AT,São Paulo,29,1993,19,15,1.350,15.0,9,2,11,7,2,2,6,0,8.5,6.9,0.7,7.6,15,22,101,0.60,0.13,0.73,0.47,0.60,0.56,0.04,0.61,0.46,0.50,Partidas
Patric Calmon PK,br BRA,ZG,Cuiabá,28,1994,15,5,520,5.8,0,0,0,0,0,0,3,1,0.2,0.2,0.3,0.4,14,29,30,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.07,0.03,0.07,Partidas
Guilherme Camacho,br BRA,LT,Santos,32,1990,11,4,448,5.0,0,0,0,0,0,0,5,1,0.0,0.0,0.2,0.2,0,20,3,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Partidas
Nathan Camargo,br BRA,LT,Bragantino,17,2005,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.44,0.00,0.44,Partidas
